,_mask_rate,_mask_scale,_mask_strategy,_src_merge,cola,mnli,model,mrpc,qnli,qqp,rte,scaling,sst2,stsb
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,77.69,78.52,70.19999999999999,52.35,0.25,81.65,22.85
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.73,task_arithmetic_decompose,76.69,74.63,62.88,46.93,0.29,81.19,-15.7
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.43,task_arithmetic_decompose,76.69,74.72999999999999,62.88,46.93,0.29,81.31,-15.659999999999998
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.73,task_arithmetic_decompose,76.69,74.63,62.88,46.93,0.29,81.19,-15.7
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.43,task_arithmetic_decompose,76.69,74.72999999999999,62.88,46.93,0.29,81.31,-15.659999999999998
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.53,task_arithmetic_decompose,76.88000000000001,74.83,62.88,46.93,0.29,81.31,-15.62
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.33,task_arithmetic_decompose,77.07000000000001,75.12,62.99,46.57,0.29,82.34,-15.72
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.23,task_arithmetic_decompose,77.25,76.52,63.41,46.57,0.29,83.14,-15.18
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,70.03,task_arithmetic_decompose,78.44,78.72,65.9,45.85,0.29,83.94,-6.69
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.83,task_arithmetic_decompose,78.84,79.62,68.47,45.85,0.29,83.37,5.92
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.53,task_arithmetic_decompose,78.62,78.52,73.41,52.35,0.29,83.83,27.82
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.64,78.52,73.41,53.06999999999999,0.29,83.83,28.83
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.03,task_arithmetic_decompose,78.64,78.52,73.41,53.06999999999999,0.29,83.83,28.83
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.23,task_arithmetic_decompose,78.64,78.32000000000001,73.41,53.06999999999999,0.29,83.83,28.95
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,65.93,task_arithmetic_decompose,78.62,78.42,73.22999999999999,53.06999999999999,0.29,83.94,28.78
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.93,task_arithmetic_decompose,78.46,78.52,73.41,51.62,0.29,83.94,28.64
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.93,task_arithmetic_decompose,77.10000000000001,76.42,64.03999999999999,46.57,0.3,83.26,-14.99
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.73,task_arithmetic_decompose,77.10000000000001,76.52,64.03999999999999,46.57,0.3,83.14,-14.89
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.93,task_arithmetic_decompose,77.10000000000001,76.42,64.03999999999999,46.57,0.3,83.26,-14.99
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,8.19,69.73,task_arithmetic_decompose,77.10000000000001,76.52,64.03999999999999,46.57,0.3,83.14,-14.89
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,69.83,task_arithmetic_decompose,78.27,78.12,64.57000000000001,45.49,0.28,82.91,-8.04
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,4.72,68.13,task_arithmetic_decompose,76.85,74.53,62.02,46.57,0.28,80.73,-16.6
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,68.53,task_arithmetic_decompose,79.05,79.22,67.80000000000001,47.29,0.28,83.26,4.590000000000001
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,67.53,task_arithmetic_decompose,78.78,79.32000000000001,71.59,51.99,0.28,83.37,22.36
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.73,task_arithmetic_decompose,78.46,79.02,72.14,52.71,0.28,83.26,26.86
0,,,,cola+sst2+mrpc+stsb+qqp+mnli+qnli+rte,6.68,66.73,task_arithmetic_decompose,78.46,78.72,73.05,53.43,0.28,83.49,27.87
